emp_no,first_name,last_name,title,from_date,to_date
11942,Uri,Scharstein,Engineer,1985-04-06,1992-04-06
11982,Marsha,Hasenauer,Senior Engineer,1985-12-17,9999-01-01
11985,Baocai,Wiegley,Engineer,1985-12-18,1994-12-18
12048,Rosine,Schwabacher,Engineer,1985-05-25,1992-05-25
12079,Michaela,Suwa,Staff,1985-12-09,1994-12-09
12136,Slavian,Huxford,Engineer,1985-08-02,1991-08-02
12157,Georgi,Barinka,Staff,1985-06-04,1991-06-04
12251,Iara,Hiraishi,Engineer,1985-07-20,1993-07-20
12280,Lidong,Eiter,Senior Engineer,1985-02-27,9999-01-01
12290,Jeanne,Braccini,Staff,1985-08-10,1994-08-10
12419,Srinidhi,Markovitch,Engineer,1985-08-19,1991-08-19
12453,True,Ebeling,Engineer,1985-12-12,1994-12-12
12465,Gita,Ressouche,Senior Staff,1985-11-22,9999-01-01
12554,Debatosh,Muhling,Engineer,1985-08-29,1992-08-29
12655,Herb,Ramaiah,Engineer,1985-12-12,1991-12-12
12667,Maris,Kemmerer,Engineer,1985-12-18,1992-12-18
12679,Kolar,Sommen,Engineer,1985-02-26,1990-02-26
12699,Izaskun,Setia,Senior Staff,1985-09-24,9999-01-01
12907,Menkae,Cmelik,Engineer,1985-04-04,1991-04-04
12927,Mohan,Limongiello,Engineer,1985-10-27,1993-10-27
12965,Mitsuyuki,Shanbhogue,Engineer,1985-02-07,1988-08-30
13001,Rosita,Wiegley,Senior Engineer,1985-03-05,2000-10-05
13056,Arvind,Zirintsis,Staff,1985-05-16,1990-05-16
13138,Ekawit,Peyn,Staff,1985-08-27,1992-08-27
13152,Yuguang,Falck,Engineer,1985-11-28,1993-11-28
13183,Shaw,Smailagic,Staff,1985-11-23,1990-11-23
13208,Maren,Vakili,Engineer,1985-03-25,1990-03-25
13265,Masali,Khalid,Engineer,1985-11-26,1990-11-26
13476,Niclas,Broomell,Engineer,1985-05-01,1990-05-01
13507,Matt,Wallrath,Engineer,1985-06-28,1993-06-28
13537,Jacqueline,Ibel,Assistant Engineer,1985-03-20,1991-03-20
13589,Arfst,Munck,Staff,1985-11-16,1987-04-11
13695,Sakthirel,Tsukuda,Staff,1985-07-02,1992-07-02
13755,Poornachandra,Heusch,Engineer,1985-07-30,1988-12-25
13814,Ulises,Merel,Staff,1985-05-31,1990-11-12
13836,Taiji,Przulj,Staff,1985-09-05,1992-09-05
13959,Danae,Apsitis,Engineer,1985-05-15,1992-05-15
13998,Changho,Fujisaki,Engineer,1985-06-05,1994-06-05
14126,Neven,Gubsky,Senior Engineer,1985-08-15,9999-01-01
14174,Huai,Erez,Senior Engineer,1985-10-27,1993-08-18
14376,Munenori,Serdy,Engineer,1985-05-30,1993-05-30
14413,Shim,Masand,Senior Staff,1985-06-13,9999-01-01
14508,Shahid,Babu,Staff,1985-02-18,1994-02-18
14525,Eben,Neiman,Engineer,1985-10-07,1992-10-07
14542,Keiichiro,Navazio,Staff,1985-06-16,1990-06-16
14554,Quingbo,Bharadwaj,Staff,1985-02-19,1990-02-19
14613,Kien,Herath,Staff,1985-08-08,1986-11-06
14669,Faiza,Hettesheimer,Senior Engineer,1985-05-31,9999-01-01
14697,Emdad,Thibadeau,Staff,1985-08-02,1990-08-02
14768,Khedija,Winter,Engineer,1985-05-15,1994-05-15
14827,Wuxu,Lortz,Staff,1985-10-06,1991-10-06
14934,Shaleah,Ecklund,Staff,1985-02-26,1992-02-27
14980,Kristinn,Carrere,Technique Leader,1985-04-04,1988-05-13
15033,Junichi,Thambidurai,Staff,1985-06-04,1994-06-04
15035,Sanjai,Kranzdorf,Engineer,1985-08-22,1990-08-22
15096,Sastry,Ulupinar,Staff,1985-03-05,1992-03-05
15098,Shaleah,Hutter,Engineer,1985-10-05,1992-10-05
15163,Subhada,Castellani,Engineer,1985-12-22,1990-12-22
15521,Takahiro,Argence,Staff,1985-11-16,1992-11-16
15648,Shaunak,Suppi,Senior Engineer,1985-07-20,9999-01-01
15655,Hercules,Tempesti,Senior Staff,1985-03-02,1995-12-15
15833,Magy,Pettit,Engineer,1985-12-16,1993-12-16
15836,Christophe,Sewelson,Staff,1985-12-05,1990-12-05
15860,Haldon,Hoppenstand,Engineer,1985-04-06,1990-04-06
15954,Vatsa,Lodder,Engineer,1985-02-28,1991-02-28
15956,Elvia,Matzen,Staff,1985-05-03,1991-05-03
15975,Barun,Schueller,Senior Engineer,1985-03-15,9999-01-01
16017,Theirry,Lichtman,Staff,1985-10-04,1990-10-04
16023,Freyja,Marciano,Assistant Engineer,1985-12-01,1994-12-01
16024,Masaru,Mellouli,Engineer,1985-05-02,1993-05-02
16104,Khatoun,Tyugu,Assistant Engineer,1985-10-21,1994-10-21
16305,Herb,Penttonen,Engineer,1985-02-04,1993-02-04
16315,Aleksander,Munck,Senior Engineer,1985-04-08,1998-12-28
16323,Danae,Herber,Technique Leader,1985-03-12,1992-09-24
16326,Suvo,Beerel,Staff,1985-07-03,1993-07-03
16379,Tadanori,Marshall,Engineer,1985-10-08,1990-10-08
16431,Jinxi,Valette,Staff,1985-06-19,1991-06-19
16451,Domenick,Maierhofer,Staff,1985-05-27,1991-05-27
16462,Marc,Kamble,Staff,1985-05-16,1993-05-16
16534,Kwok,Prochazka,Staff,1985-10-07,1993-10-07
16536,Arvind,Meszaros,Engineer,1985-05-24,1994-05-24
16587,Gao,Yetto,Staff,1985-07-24,1991-07-24
16660,Xiong,Tasistro,Assistant Engineer,1985-07-28,1992-07-28
16681,Gurbir,Mitina,Staff,1985-12-08,1993-12-08
16739,Insup,Morris,Engineer,1985-05-09,1992-05-09
16749,Katsuo,Demir,Senior Staff,1985-11-28,9999-01-01
16802,Ymte,Bahk,Staff,1985-07-03,1992-07-03
16849,Kinh,Uhrik,Engineer,1985-08-13,1991-08-13
16974,Duangkaew,Shokrollahi,Technique Leader,1985-08-27,9999-01-01
16985,Taiji,Lupu,Senior Staff,1985-11-26,9999-01-01
17037,Golgen,Diderrich,Staff,1985-02-03,1990-02-03
17182,Mayuri,Strooper,Staff,1985-03-16,1992-03-16
17261,Shuji,Mondadori,Engineer,1985-03-21,1993-03-21
17312,JoAnne,Cappelletti,Engineer,1985-04-07,1990-04-07
17318,Shunichi,Iwayama,Engineer,1985-04-23,1991-04-23
17359,Heon,Baak,Engineer,1985-10-24,1991-10-24
17398,Vishwani,Rosenbaum,Staff,1985-11-22,1993-11-22
17408,Lijie,Lowrie,Engineer,1985-11-18,1990-11-18
17424,Geoff,Riesenhuber,Engineer,1985-02-19,1991-02-19
17434,Rajmohan,Schaar,Engineer,1985-02-04,1992-02-05
17443,Arne,Thorelli,Senior Engineer,1985-07-20,9999-01-01
17444,Yechiam,Bednarek,Staff,1985-03-05,1991-03-05
17496,Angus,Varman,Engineer,1985-03-31,1993-03-31
17549,Duri,Iwayama,Senior Engineer,1985-05-14,2002-02-25
17632,Diederik,Androutsos,Staff,1985-02-13,1990-02-13
17643,Chinhyun,Czaja,Staff,1985-04-25,1994-04-25
17668,Pohua,Simkin,Senior Staff,1985-04-12,9999-01-01
17733,Monique,Jonsson,Engineer,1985-07-24,1991-07-24
17790,Youngkon,Merro,Staff,1985-04-01,1993-04-01
17844,Gererd,Fraisse,Engineer,1985-04-14,1994-04-14
17899,Paris,Meszaros,Engineer,1985-10-12,1993-10-12
17993,Khue,Rando,Staff,1985-08-21,1994-08-21
18036,Fai,Kowalchuk,Assistant Engineer,1985-05-15,1994-05-15
18079,Takahito,Ecklund,Staff,1985-02-23,1993-02-23
18081,Conal,Range,Senior Staff,1985-09-12,9999-01-01
18084,Heeju,Armand,Assistant Engineer,1985-05-01,1991-05-01
18089,Pohua,Griswold,Engineer,1985-11-02,1991-11-02
18127,Xiaocheng,Cochrane,Senior Engineer,1985-05-04,1991-07-05
18143,Yoshimitsu,Hoppenstand,Engineer,1985-11-01,1993-11-01
18228,Noritoshi,Bojadziev,Engineer,1985-11-11,1993-11-11
18275,Vishu,Raney,Staff,1985-07-05,1992-07-05
18278,Dipankar,Shiratori,Engineer,1985-10-28,1992-10-28
18317,Lena,Cooley,Staff,1985-10-06,1990-10-06
18326,Masanao,Hardjono,Senior Engineer,1985-06-30,9999-01-01
18414,Karlis,Kavanagh,Staff,1985-07-31,1993-07-31
18425,Yaghout,Murrill,Engineer,1985-09-04,1994-09-04
18525,Herbert,Farrar,Engineer,1985-09-05,1990-09-05
18601,Susanne,Bade,Staff,1985-07-06,1990-07-06
18644,Dharmaraja,Stenning,Technique Leader,1985-05-12,9999-01-01
18649,Udaiprakash,Kusakari,Staff,1985-03-29,1993-03-29
18687,Serenella,Karlin,Senior Staff,1985-05-23,9999-01-01
18700,Yinghua,Chandrasekhar,Senior Staff,1985-11-18,9999-01-01
18907,Radhia,Denis,Senior Engineer,1985-11-20,9999-01-01
19126,Parto,Speek,Engineer,1985-05-24,1991-05-24
19171,Ziva,Magliocco,Staff,1985-04-22,1993-04-22
19195,Honglan,Falby,Staff,1985-04-02,1992-04-02
19230,Kannan,Luon,Engineer,1985-03-18,1994-03-18
19235,Ishfaq,Bottner,Senior Engineer,1985-07-18,9999-01-01
19330,Suebskul,Eppinger,Staff,1985-12-02,1992-12-02
19435,Alois,Straney,Engineer,1985-04-01,1991-04-01
19523,Froduald,Czaja,Senior Staff,1985-06-18,9999-01-01
19692,Aemilian,Moehrke,Staff,1985-06-12,1992-06-12
19761,Vasiliy,Niizuma,Staff,1985-08-04,1987-01-06
19769,Bezalel,Holburn,Engineer,1985-09-17,1987-04-25
19928,Perry,Nitto,Engineer,1985-11-14,1988-01-27
19968,Georg,Michaeli,Engineer,1985-08-23,1990-08-23
20018,Yefim,Tramer,Staff,1985-06-10,1988-06-03
20035,Guoxiang,Trogemann,Staff,1985-11-11,1991-11-11
20149,Petter,Dredge,Engineer,1985-11-04,1991-11-04
20198,Rafael,Chleq,Senior Engineer,1985-08-11,9999-01-01
20209,Raimond,Jahnichen,Staff,1985-06-27,1991-06-27
20216,Val,Naumovich,Engineer,1985-11-15,1994-11-15
20232,Pasqua,Conti,Staff,1985-07-19,1992-07-19
20235,Boriana,Baaleh,Engineer,1985-02-04,1994-02-04
20257,Xuejia,Rosay,Engineer,1985-10-19,1994-10-19
20473,Maria,Hammerschmidt,Engineer,1985-11-12,1994-11-12
20521,Dulce,Impagliazzo,Senior Staff,1985-03-23,9999-01-01
20541,Shuzo,Lunt,Senior Staff,1985-09-01,9999-01-01
20571,Erez,Poujol,Assistant Engineer,1985-04-29,1993-04-29
20605,Jouko,Baja,Engineer,1985-11-07,1992-11-07
20638,Mingzeng,Rouquie,Engineer,1985-02-26,1991-02-26
20690,Alselm,Barinka,Technique Leader,1985-04-24,9999-01-01
20758,Branimir,Decleir,Staff,1985-06-13,1991-06-13
20789,Tayeb,Magliocco,Technique Leader,1985-11-11,9999-01-01
20901,Unal,Leuchs,Senior Engineer,1985-05-14,9999-01-01
20904,Naraig,Meriste,Engineer,1985-04-20,1993-04-20
20953,Basil,Prampolini,Senior Engineer,1985-09-25,9999-01-01
21000,Sudhanshu,Lieberherr,Engineer,1985-09-19,1990-09-19
21001,Katsuyuki,Penn,Engineer,1985-04-21,1990-04-21
21065,Muzhong,Atrawala,Engineer,1985-06-18,1990-06-18
21111,Izaskun,Casperson,Senior Engineer,1985-06-20,9999-01-01
21207,Kristen,Cannata,Technique Leader,1985-10-14,9999-01-01
21261,Charlene,Albarhamtoshy,Staff,1985-03-07,1990-03-07
21266,Vitali,Ozeki,Senior Staff,1985-10-04,9999-01-01
21268,Fusako,Stentiford,Engineer,1985-03-10,1991-03-10
21279,Supot,Nyanchama,Engineer,1985-11-05,1992-11-05
21314,Ramzi,Murtafg,Staff,1985-07-20,1993-07-20
21354,Dulce,Vecchi,Staff,1985-03-17,1987-12-05
21437,King,Gomatam,Staff,1985-10-24,1992-10-24
21465,Shalesh,Terwilliger,Staff,1985-03-05,1991-03-05
21469,Renee,Pehl,Engineer,1985-04-30,1993-04-30
21618,Hirochika,Schmittgen,Staff,1985-12-30,1992-12-30
21640,Poorav,Levergood,Staff,1985-03-19,1993-03-19
21699,Nalini,Cangellaris,Engineer,1985-12-23,1993-12-23
21827,Goa,Vesna,Staff,1985-07-29,1991-07-29
21847,Flemming,Kitai,Engineer,1985-08-25,1989-08-02
21853,Arco,Speer,Senior Staff,1985-06-22,9999-01-01
21875,Tua,Sabnani,Staff,1985-02-20,1993-02-20
21929,Henk,Kossowski,Engineer,1985-12-19,1991-12-19
21949,Arie,Crelier,Engineer,1985-06-03,1994-06-03
21964,Constantijn,Borstler,Senior Engineer,1985-07-08,1999-08-02
22017,Mamdouh,Staudhammer,Senior Engineer,1985-11-22,9999-01-01
22102,Yaghout,Puppo,Staff,1985-09-24,1991-09-24
22161,Kazuhito,Pezzoli,Staff,1985-11-17,1993-11-17
22184,Chaosheng,Eppinger,Senior Staff,1985-04-26,9999-01-01
22251,Ung,Kenevan,Engineer,1985-11-29,1991-11-29
22279,Aamer,Kornyak,Staff,1985-02-25,1988-04-18
22316,Zhenbing,Erev,Staff,1985-08-22,1990-08-22
22376,Mandell,Plumb,Staff,1985-04-11,1991-04-11
22420,Ung,Czap,Engineer,1985-06-24,1993-06-24
22486,Danco,Conte,Assistant Engineer,1985-09-30,1991-09-30
22540,Rasiah,Farrag,Technique Leader,1985-09-22,9999-01-01
22558,Maha,Rosti,Engineer,1985-03-23,1990-03-23
22643,Alexius,Turnbull,Staff,1985-02-03,1994-02-03
22648,Shai,Butterworth,Senior Engineer,1985-11-15,9999-01-01
22721,Lorien,Besselaar,Staff,1985-02-27,1990-02-27
22742,Adhemar,Melski,Engineer,1985-04-04,1992-04-04
22883,Remzi,Bernardinello,Senior Engineer,1985-05-22,9999-01-01
23003,Herbert,Lagarias,Senior Staff,1985-10-23,9999-01-01
23048,Tonny,Murillo,Assistant Engineer,1985-11-17,1991-11-17
23054,Ranga,Ballarin,Senior Engineer,1985-04-27,9999-01-01
23063,Marla,Isaak,Staff,1985-12-15,1990-12-15
23129,Candido,Zallocco,Senior Engineer,1985-09-23,9999-01-01
23154,Subhada,Luga,Engineer,1985-05-16,1990-05-16
23167,Rasikan,Huxford,Senior Engineer,1985-03-09,9999-01-01
23259,Kayoko,Heuser,Engineer,1985-02-16,1993-02-16
23273,Deniz,Kaltofen,Staff,1985-05-04,1994-05-04
23296,Takahira,Fandrianto,Assistant Engineer,1985-11-12,1993-11-12
23302,Guadalupe,Malabarba,Senior Staff,1985-12-29,9999-01-01
23339,Masamitsu,Calkin,Technique Leader,1985-05-10,1998-11-18
23341,Kazuhito,Jansen,Engineer,1985-06-30,1994-06-30
23365,Valeska,Suessmith,Senior Engineer,1985-05-10,9999-01-01
23400,Tse,Baranowski,Senior Engineer,1985-04-15,9999-01-01
23408,Dulce,Rousseau,Engineer,1985-12-28,1993-12-28
23418,Oscar,Marakhovsky,Staff,1985-10-01,1994-10-01
23472,Shahaf,Naumovich,Senior Staff,1985-07-13,9999-01-01
23474,Mori,Plessier,Engineer,1985-12-08,1993-12-08
23491,Juyoung,Mersereau,Engineer,1985-12-15,1991-12-15
23496,Shigenori,Bale,Staff,1985-04-09,1992-04-09
23499,Noritoshi,Flasterstein,Staff,1985-08-22,1990-08-22
23518,Gritta,Wossner,Engineer,1985-08-19,1993-08-19
23594,Mooi,Anido,Staff,1985-08-30,1992-08-30
23632,Koldo,Homond,Engineer,1985-04-21,1989-08-30
23645,Radhika,Cochrane,Assistant Engineer,1985-05-13,1992-11-18
23690,Giap,Rosay,Staff,1985-02-15,1994-02-15
23702,Matk,Colorni,Engineer,1985-06-20,1993-06-20
23768,Unal,Borovoy,Engineer,1985-10-10,1990-10-10
23820,Nahid,Barriga,Engineer,1985-10-23,1990-10-23
23847,Bader,Nilsson,Staff,1985-02-12,1993-02-12
23913,Yongdong,Steinauer,Senior Engineer,1985-07-20,9999-01-01
23988,Jayesh,Boyle,Staff,1985-08-24,1990-08-24
24050,Mototsugu,Quaggetto,Staff,1985-10-12,1992-10-12
24089,Zeydy,Karner,Staff,1985-12-26,1993-12-26
24117,Temple,Begiun,Assistant Engineer,1985-07-06,1988-09-12
24127,Fuqing,Bernick,Staff,1985-06-06,1994-06-06
24130,Elrique,Seiwald,Staff,1985-12-30,1990-12-30
24255,Serge,Boyle,Senior Engineer,1985-05-25,9999-01-01
24311,Emdad,Naudin,Senior Staff,1985-05-10,9999-01-01
24347,Mizuhito,Sommer,Technique Leader,1985-08-28,9999-01-01
24393,Satyanarayana,Flowers,Engineer,1985-09-07,1989-01-23
24467,Hidefumi,Morton,Staff,1985-04-09,1993-04-09
24562,Guoxiang,Krupka,Staff,1985-05-23,1994-05-23
24648,Gao,Provine,Engineer,1985-11-03,1992-11-03
24668,Shuky,Kranzdorf,Technique Leader,1985-09-12,9999-01-01
24743,Muneo,Azadmanesh,Engineer,1985-10-24,1994-10-24
24765,Aram,Rahier,Staff,1985-06-04,1993-06-04
24810,Kristen,Serot,Senior Staff,1985-12-07,1988-03-22
24816,Peer,Sabnani,Senior Staff,1985-10-03,9999-01-01
24907,Houman,Roccetti,Assistant Engineer,1985-07-22,1993-07-22
24920,Taiji,Lueh,Engineer,1985-04-29,1992-04-29
24931,Samphel,Barbanera,Staff,1985-07-27,1994-07-27
24940,Richara,Butner,Engineer,1985-11-02,1992-11-02
25214,Sreekrishna,Chiodo,Staff,1985-02-18,1992-02-19
25278,Brigham,Zwicker,Senior Staff,1985-10-24,9999-01-01
25320,Nevin,Minakawa,Engineer,1985-09-17,1990-09-17
25420,Chenyi,Spieker,Engineer,1985-04-30,1994-04-30
25436,Horward,Steenbeek,Senior Staff,1985-02-06,9999-01-01
25452,Jeanne,Kalorkoti,Engineer,1985-12-23,1993-06-19
25482,Tsutomu,Thibadeau,Senior Engineer,1985-05-23,9999-01-01
25674,Jacqueline,Kavvadias,Staff,1985-07-06,1991-07-06
25676,Geoffry,Pramanik,Senior Staff,1985-06-26,9999-01-01
25691,Filipp,Marchegay,Engineer,1985-02-16,1990-02-16
25696,Akeno,Muntz,Engineer,1985-07-11,1991-07-11
25710,Urs,Georgakopoulos,Engineer,1985-03-03,1993-03-03
25868,Jasminko,Streit,Engineer,1985-05-16,1986-02-22
25901,Munenori,Rousseau,Senior Engineer,1985-11-25,2001-02-12
25924,Soenke,Argence,Engineer,1985-04-08,1994-04-08
25930,Shawna,Kohling,Engineer,1985-05-26,1990-05-26
25995,Ramalingam,Leijenhorst,Senior Engineer,1985-06-30,9999-01-01
26069,Dinah,Crouzet,Engineer,1985-08-30,1991-08-30
26094,Shahar,Chappelet,Staff,1985-08-12,1992-08-12
26147,George,Wielonsky,Senior Staff,1985-05-17,9999-01-01
26183,Berni,Zaccaria,Engineer,1985-10-14,1993-10-14
26233,Chandrasekaran,Masamoto,Engineer,1985-02-28,1990-02-28
26301,Jamaludin,Zumaque,Assistant Engineer,1985-03-16,1992-03-16
26331,Giao,Chiodo,Senior Engineer,1985-03-20,9999-01-01
26354,Fayez,Salvesen,Staff,1985-09-22,1993-11-04
26381,Bogdan,Peng,Staff,1985-06-17,1992-06-17
26454,Yongmin,Shackel,Senior Staff,1985-09-04,9999-01-01
26482,Sashi,Sewelson,Staff,1985-09-22,1993-09-22
26499,Xudong,Bondorf,Engineer,1985-07-18,1991-07-18
26522,Xiahua,Imataki,Engineer,1985-10-03,1993-10-03
26594,Sudhanshu,Conta,Staff,1985-04-12,1993-04-12
26601,Yishay,Marzano,Technique Leader,1985-09-26,9999-01-01
26618,Mooi,Selenyi,Staff,1985-07-07,1990-07-07
26631,Goh,Linnainmaa,Staff,1985-02-05,1993-02-05
26672,Shaleah,Frezza,Senior Staff,1985-09-27,9999-01-01
26745,Kazuhiro,Schwaller,Senior Engineer,1985-05-12,1990-11-11
26966,Abdulah,Poujol,Senior Staff,1985-06-06,9999-01-01
27034,Quingbo,Farrar,Assistant Engineer,1985-08-02,1994-08-02
27053,Girolamo,Rajaraman,Engineer,1985-08-17,1993-08-17
27083,Masali,Shihab,Engineer,1985-05-24,1991-05-24
27366,Nakhoon,Hennebert,Staff,1985-05-17,1989-07-27
27400,Visit,Nittel,Assistant Engineer,1985-05-03,1991-05-03
27419,Weidon,Tempesti,Senior Engineer,1985-07-12,1993-05-27
27549,Mabhin,Pleszkun,Assistant Engineer,1985-06-27,1989-02-15
27651,Ulises,Ulupinar,Staff,1985-04-13,1991-04-13
27695,Werner,Clemencon,Staff,1985-05-24,1994-05-24
27696,Fen,Genther,Staff,1985-05-18,1994-05-18
27768,Honesty,Rajcani,Senior Engineer,1985-03-24,1992-07-02
27868,Weiye,Kuzuoka,Assistant Engineer,1985-05-30,1990-05-30
27870,Gao,Braunmuhl,Staff,1985-04-28,1990-04-28
27908,Odinaldo,Rahier,Engineer,1985-05-05,1993-05-05
27941,Mohit,Kroon,Staff,1985-09-09,1991-09-09
28000,Xinglin,Schurmann,Staff,1985-08-03,1991-08-03
28018,Shigenori,Raoux,Staff,1985-06-19,1991-06-19
28053,Turgut,Suessmith,Engineer,1985-11-02,1994-11-02
28129,Arco,Swiler,Staff,1985-08-09,1993-08-09
28184,Hongzhu,Syrotiuk,Engineer,1985-02-14,1992-02-15
28230,Fan,Roohalamini,Assistant Engineer,1985-05-10,1990-05-10
28233,Uinam,Zolotykh,Technique Leader,1985-06-16,1986-11-05
28392,Koldo,Baez,Engineer,1985-06-23,1991-06-23
28430,Sariel,Perry,Senior Engineer,1985-07-15,1996-05-22
28564,Baziley,Gniady,Engineer,1985-03-04,1994-03-04
28589,Serenella,Pashtan,Senior Staff,1985-06-20,9999-01-01
28738,Aran,Leivant,Staff,1985-02-19,1993-02-19
28843,Jaber,Karnin,Engineer,1985-08-31,1992-08-31
28923,Lorien,Lanteri,Staff,1985-05-21,1994-05-21
28942,Gretta,Farrow,Senior Engineer,1985-10-22,1988-12-29
28994,Hairong,Ritzmann,Senior Staff,1985-12-08,9999-01-01
29266,Bader,Suomi,Staff,1985-10-17,1987-10-17
29302,Sashi,Leslie,Staff,1985-08-08,1991-08-08
29314,Gro,Vecchio,Staff,1985-06-23,1990-06-23
29365,Zejun,Dratva,Engineer,1985-12-06,1988-05-25
29401,Hatem,Boissier,Engineer,1985-09-25,1990-09-25
29403,Feipei,Turnbull,Senior Engineer,1985-06-27,9999-01-01
29423,Xiong,Yeung,Assistant Engineer,1985-05-24,1991-05-24
29675,LiMin,Strooper,Engineer,1985-03-02,1992-03-02
29700,Christoph,Melton,Engineer,1985-11-17,1993-11-17
29710,Subhash,Erol,Senior Engineer,1985-07-21,9999-01-01
29712,Manibrata,Felcyn,Engineer,1985-05-30,1991-05-30
29926,Ung,Marquardt,Engineer,1985-10-04,1991-10-04
29941,Arumugam,Guting,Senior Staff,1985-10-12,9999-01-01
29981,Aamer,Gyorkos,Staff,1985-12-01,1994-12-01
30014,Annemarie,Hasham,Technique Leader,1985-05-11,9999-01-01
30041,Arup,Kitai,Staff,1985-03-10,1986-10-15
30082,Masaru,Simkin,Engineer,1985-10-27,1993-10-27
30095,Shigeo,Kalsbeek,Engineer,1985-06-22,1991-06-22
30265,Shaowen,Puoti,Staff,1985-07-27,1994-07-27
30350,Christfried,Anily,Staff,1985-08-08,1994-08-08
30359,Kwan,Gils,Assistant Engineer,1985-11-10,1990-11-10
30598,Masaru,Besancenot,Assistant Engineer,1985-07-28,1990-07-28
30621,Prodip,Versino,Engineer,1985-12-08,1991-12-08
30630,Halsur,Juneja,Senior Engineer,1985-11-23,9999-01-01
30637,Arie,Serdy,Staff,1985-05-28,1990-05-28
30721,Dzung,Kulisch,Senior Engineer,1985-06-21,9999-01-01
30743,Hatim,Sidhu,Technique Leader,1985-05-28,9999-01-01
30777,Joydip,Genther,Engineer,1985-03-03,1992-03-03
30880,Candido,Heusch,Engineer,1985-10-27,1990-10-27
30898,Shahar,Peltason,Engineer,1985-06-12,1993-06-12
30924,Stella,Koshino,Staff,1985-07-31,1988-04-27
31217,Xuejia,Mundy,Senior Engineer,1985-06-29,1988-10-19
31250,Lakshmi,Speckmann,Senior Engineer,1985-06-30,9999-01-01
31284,Greger,Christ,Staff,1985-02-21,1990-02-21
31314,Kamran,Rothenberg,Staff,1985-05-08,1988-09-29
31467,Ramya,Thebaut,Senior Staff,1985-10-17,9999-01-01
31468,Chiranjit,Frolund,Staff,1985-04-29,1994-04-29
31497,Qingxiang,Cronan,Senior Engineer,1985-06-05,9999-01-01
31526,Utz,Tasistro,Senior Engineer,1985-11-30,9999-01-01
31536,Constantine,Ressouche,Engineer,1985-08-04,1991-08-04
31615,Kwangsub,Kuszyk,Staff,1985-12-26,1989-12-04
31691,Zijian,Vural,Engineer,1985-07-05,1994-07-05
31713,Uri,Garigliano,Technique Leader,1985-11-03,1994-08-21
31785,Maya,Bottner,Senior Staff,1985-09-02,9999-01-01
31841,Sven,Kadhim,Staff,1985-03-22,1991-03-22
31907,Inderjeet,Nations,Assistant Engineer,1985-12-06,1991-12-06
31934,Geoffrey,Besselaar,Staff,1985-09-13,1990-09-13
31939,Niranjan,Kambil,Staff,1985-12-21,1992-12-21
32004,Dietrich,Denna,Engineer,1985-09-25,1993-09-25
32019,Piyawadee,Shigei,Staff,1985-10-28,1992-10-28
32067,Pohua,Sewelson,Senior Engineer,1985-09-28,9999-01-01
32121,Kannan,Leivant,Staff,1985-08-29,1992-08-29
32214,Baziley,Roohalamini,Engineer,1985-06-20,1990-06-20
32267,Jeanna,Meriste,Staff,1985-02-25,1989-10-24
32291,Odysseas,Constantine,Senior Engineer,1985-12-06,9999-01-01
32293,Jayson,Gimarc,Technique Leader,1985-02-02,1996-07-22
32536,Kristof,Karner,Engineer,1985-08-24,1992-08-24
